Data;Categorie;Costo;mese;anno
18/10/2018;Cibo;1,83;10;2018
16/10/2018;Cibo;18;10;2018
16/10/2018;Regali;5;10;2018
16/10/2018;Cena fuori;5;10;2018
03/10/2018;Cibo;3;10;2018
02/10/2018;Cibo;6,68;10;2018
01/10/2018;Cibo;4;10;2018
30/09/2018;Pagamento;9;09;2018
29/09/2018;Cibo;2;09;2018
29/09/2018;Cibo;4,15;09;2018
28/09/2018;Pagamento;0,01;09;2018
27/09/2018;Cena fuori;12;09;2018
25/09/2018;Cena fuori;2,6;09;2018
20/09/2018;Cena fuori;2,66;09;2018
18/09/2018;Cibo;10;09;2018
16/09/2018;Generali;5,6;09;2018
16/09/2018;Cena fuori;12,7;09;2018
13/09/2018;Generali;10;09;2018
12/09/2018;Cibo;6;09;2018
